AtomicNumber;Element;Symbol;AtomicMass;Phase;Radioactive;Natural;Type;MeltingPoint;BoilingPoint;Discoverer;Year;NumberofShells;NumberofValence
1;Hydrogen;H;1.007;gas;;yes;Nonmetal;14.175;20.28;Cavendish;1766;1;1
2;Helium;He;4.002;gas;;yes;Noble Gas;;44652;Janssen;1868;1;
3;Lithium;Li;6.941;solid;;yes;Alkali Metal;453.85;1615;Arfvedson;1817;2;1
4;Beryllium;Be;9.012;solid;;yes;Alkaline Earth Metal;1560.15;2742;Vaulquelin;1798;2;2
5;Boron;B;10.811;solid;;yes;Metalloid;2573.15;4200;Gay-Lussac;1808;2;3
6;Carbon;C;12.011;solid;;yes;Nonmetal;3948.15;4300;Prehistoric;;2;4
7;Nitrogen;N;14.007;gas;;yes;Nonmetal;63.29;77.36;Rutherford;1772;2;5
8;Oxygen;O;15.999;gas;;yes;Nonmetal;50.5;90.2;Priestley/Scheele;1774;2;6
9;Fluorine;F;18.998;gas;;yes;Halogen;53.63;85.03;Moissan;1886;2;7
10;Neon;Ne;20.18;gas;;yes;Noble Gas;24.703;44769;Ramsay and Travers;1898;2;8
11;Sodium;Na;22.99;solid;;yes;Alkali Metal;371.15;1156;Davy;1807;3;1
12;Magnesium;Mg;24.305;solid;;yes;Alkaline Earth Metal;923.15;1363;Black;1755;3;2
13;Aluminum;Al;26.982;solid;;yes;Metal;933.4;2792;Wshler;1827;3;3
14;Silicon;Si;28.086;solid;;yes;Metalloid;1683.15;3538;Berzelius;1824;3;4
15;Phosphorus;P;30.974;solid;;yes;Nonmetal;317.25;553;BranBrand;1669;3;5
16;Sulfur;S;32.065;solid;;yes;Nonmetal;388.51;717.8;Prehistoric;;3;6
17;Chlorine;Cl;35.453;gas;;yes;Halogen;172.31;239.11;Scheele;1774;3;7
18;Argon;Ar;39.948;gas;;yes;Noble Gas;83.96;87.3;Rayleigh and Ramsay;1894;3;8
19;Potassium;K;39.098;solid;;yes;Alkali Metal;336.5;1032;Davy;1807;4;1
20;Calcium;Ca;40.078;solid;;yes;Alkaline Earth Metal;1112.15;1757;Davy;1808;4;2
21;Scandium;Sc;44.956;solid;;yes;Transition Metal;1812.15;3109;Nilson;1878;4;
22;Titanium;Ti;47.867;solid;;yes;Transition Metal;1933.15;3560;Gregor;1791;4;
23;Vanadium;V;50.942;solid;;yes;Transition Metal;2175.15;3680;del Rio;1801;4;
24;Chromium;Cr;51.996;solid;;yes;Transition Metal;2130.15;2944;Vauquelin;1797;4;
25;Manganese;Mn;54.938;solid;;yes;Transition Metal;1519.15;2334;Gahn, Scheele;1774;4;
26;Iron;Fe;55.845;solid;;yes;Transition Metal;1808.15;3134;Prehistoric;;4;
27;Cobalt;Co;58.933;solid;;yes;Transition Metal;1768.15;3200;Brandt;1735;4;
28;Nickel;Ni;58.693;solid;;yes;Transition Metal;1726.15;3186;Cronstedt;1751;4;
29;Copper;Cu;63.546;solid;;yes;Transition Metal;1357.75;2835;Prehistoric;;4;
30;Zinc;Zn;65.38;solid;;yes;Transition Metal;692.88;1180;Prehistoric;;4;
31;Gallium;Ga;69.723;solid;;yes;Metal;302.91;2477;de Boisbaudran;1875;4;3
32;Germanium;Ge;72.64;solid;;yes;Metalloid;1211.45;3106;Winkler;1886;4;4
33;Arsenic;As;74.922;solid;;yes;Metalloid;1090.15;887;Albertus Magnus;1250;4;5
34;Selenium;Se;78.96;solid;;yes;Nonmetal;494.15;958;Berzelius;1817;4;6
35;Bromine;Br;79.904;liq;;yes;Halogen;266.05;332;Balard;1826;4;7
36;Krypton;Kr;83.798;gas;;yes;Noble Gas;115.93;119.93;Ramsay and Travers;1898;4;8
37;Rubidium;Rb;85.468;solid;;yes;Alkali Metal;312.79;961;Bunsen and Kirchoff;1861;5;1
38;Strontium;Sr;87.62;solid;;yes;Alkaline Earth Metal;1042.15;1655;Davy;1808;5;2
39;Yttrium;Y;88.906;solid;;yes;Transition Metal;1799.15;3609;Gadolin;1794;5;
40;Zirconium;Zr;91.224;solid;;yes;Transition Metal;2125.15;4682;Klaproth;1789;5;
41;Niobium;Nb;92.906;solid;;yes;Transition Metal;2741.15;5017;Hatchett;1801;5;
42;Molybdenum;Mo;95.96;solid;;yes;Transition Metal;2890.15;4912;Scheele;1778;5;
43;Technetium;Tc;98;artificial;yes;;Transition Metal;2473.15;5150;Perrier and Segr?;1937;5;
44;Ruthenium;Ru;101.07;solid;;yes;Transition Metal;2523.15;4423;Klaus;1844;5;
45;Rhodium;Rh;102.906;solid;;yes;Transition Metal;2239.15;3968;Wollaston;1803;5;
46;Palladium;Pd;106.42;solid;;yes;Transition Metal;1825.15;3236;Wollaston;1803;5;
47;Silver;Ag;107.868;solid;;yes;Transition Metal;1234.15;2435;Prehistoric;;5;
48;Cadmium;Cd;112.411;solid;;yes;Transition Metal;594.33;1040;Stromeyer;1817;5;
49;Indium;In;114.818;solid;;yes;Metal;429.91;2345;Reich and Richter;1863;5;3
50;Tin;Sn;118.71;solid;;yes;Metal;505.21;2875;Prehistoric;;5;4
51;Antimony;Sb;121.76;solid;;yes;Metalloid;904.05;1860;Early historic times;;5;5
52;Tellurium;Te;127.6;solid;;yes;Metalloid;722.8;1261;von Reichenstein;1782;5;6
53;Iodine;I;126.904;solid;;yes;Halogen;386.65;457.4;Courtois;1811;5;7
54;Xenon;Xe;131.293;gas;;yes;Noble Gas;161.45;165.03;Ramsay and Travers;1898;5;8
55;Cesium;Cs;132.905;solid;;yes;Alkali Metal;301.7;944;Bunsen and Kirchoff;1860;6;1
56;Barium;Ba;137.327;solid;;yes;Alkaline Earth Metal;1002.15;2170;Davy;1808;6;2
57;Lanthanum;La;138.905;solid;;yes;Lanthanide;1193.15;3737;Mosander;1839;6;
58;Cerium;Ce;140.116;solid;;yes;Lanthanide;1071.15;3716;Berzelius;1803;6;
59;Praseodymium;Pr;140.908;solid;;yes;Lanthanide;1204.15;3793;von Welsbach;1885;6;
60;Neodymium;Nd;144.242;solid;;yes;Lanthanide;1289.15;3347;von Welsbach;1885;6;
61;Promethium;Pm;145;artificial;yes;;Lanthanide;1204.15;3273;Marinsky et al.;1945;6;
62;Samarium;Sm;150.36;solid;;yes;Lanthanide;1345.15;2067;Boisbaudran;1879;6;
63;Europium;Eu;151.964;solid;;yes;Lanthanide;1095.15;1802;Demarcay;1901;6;
64;Gadolinium;Gd;157.25;solid;;yes;Lanthanide;1585.15;3546;de Marignac;1880;6;
65;Terbium;Tb;158.925;solid;;yes;Lanthanide;1630.15;3503;Mosander;1843;6;
66;Dysprosium;Dy;162.5;solid;;yes;Lanthanide;1680.15;2840;de Boisbaudran;1886;6;
67;Holmium;Ho;164.93;solid;;yes;Lanthanide;1743.15;2993;Delafontaine and Soret;1878;6;
68;Erbium;Er;167.259;solid;;yes;Lanthanide;1795.15;3503;Mosander;1843;6;
69;Thulium;Tm;168.934;solid;;yes;Lanthanide;1818.15;2223;Cleve;1879;6;
70;Ytterbium;Yb;173.054;solid;;yes;Lanthanide;1097.15;1469;Marignac;1878;6;
71;Lutetium;Lu;174.967;solid;;yes;Lanthanide;1936.15;3675;Urbain/ von Welsbach;1907;6;
72;Hafnium;Hf;178.49;solid;;yes;Transition Metal;2500.15;4876;Coster and von Hevesy;1923;6;
73;Tantalum;Ta;180.948;solid;;yes;Transition Metal;3269.15;5731;Ekeberg;1801;6;
74;Wolfram;W;183.84;solid;;yes;Transition Metal;3680.15;5828;J. and F. d'Elhuyar;1783;6;
75;Rhenium;Re;186.207;solid;;yes;Transition Metal;3453.15;5869;Noddack, Berg, and Tacke;1925;6;
76;Osmium;Os;190.23;solid;;yes;Transition Metal;3300.15;5285;Tennant;1803;6;
77;Iridium;Ir;192.217;solid;;yes;Transition Metal;2716.15;4701;Tennant;1804;6;
78;Platinum;Pt;195.084;solid;;yes;Transition Metal;2045.15;4098;Ulloa/Wood;1735;6;
79;Gold;Au;196.967;solid;;yes;Transition Metal;1337.73;3129;Prehistoric;;6;
80;Mercury;Hg;200.59;liq;;yes;Transition Metal;234.43;630;Prehistoric;;6;
81;Thallium;Tl;204.383;solid;;yes;Metal;577.15;1746;Crookes;1861;6;3
82;Lead;Pb;207.2;solid;;yes;Metal;600.75;2022;Prehistoric;;6;4
83;Bismuth;Bi;208.98;solid;;yes;Metal;544.67;1837;Geoffroy the Younger;1753;6;5
84;Polonium;Po;210;solid;yes;yes;Metalloid;527.15;1235;Curie;1898;6;6
85;Astatine;At;210;solid;yes;yes;Noble Gas;575.15;610;Corson et al.;1940;6;7
86;Radon;Rn;222;gas;yes;yes;Alkali Metal;202.15;211.3;Dorn;1900;6;8
87;Francium;Fr;223;solid;yes;yes;Alkaline Earth Metal;300.15;950;Perey;1939;7;1
88;Radium;Ra;226;solid;yes;yes;Actinide;973.15;2010;Pierre and Marie Curie;1898;7;2
89;Actinium;Ac;227;solid;yes;yes;Actinide;1323.15;3471;Debierne/Giesel;1899;7;
90;Thorium;Th;232.038;solid;yes;yes;Actinide;2028.15;5061;Berzelius;1828;7;
91;Protactinium;Pa;231.036;solid;yes;yes;Actinide;1873.15;4300;Hahn and Meitner;1917;7;
92;Uranium;U;238.029;solid;yes;yes;Actinide;1405.15;4404;Peligot;1841;7;
93;Neptunium;Np;237;artificial;yes;;Actinide;913.15;4273;McMillan and Abelson;1940;7;
94;Plutonium;Pu;244;artificial;yes;;Actinide;913.15;3501;Seaborg et al.;1940;7;
95;Americium;Am;243;artificial;yes;;Actinide;1267.15;2880;Seaborg et al.;1944;7;
96;Curium;Cm;247;artificial;yes;;Actinide;1340.15;3383;Seaborg et al.;1944;7;
97;Berkelium;Bk;247;artificial;yes;;Actinide;1259.15;983;Seaborg et al.;1949;7;
98;Californium;Cf;251;artificial;yes;;Actinide;1925.15;1173;Seaborg et al.;1950;7;
99;Einsteinium;Es;252;artificial;yes;;Actinide;1133.15;;Ghiorso et al.;1952;7;
100;Fermium;Fm;257;artificial;yes;;Actinide;;;Ghiorso et al.;1953;7;
101;Mendelevium;Md;258;artificial;yes;;Actinide;;;Ghiorso et al.;1955;7;
102;Nobelium;No;259;artificial;yes;;Actinide;;;Ghiorso et al.;1958;7;
103;Lawrencium;Lr;262;artificial;yes;;Actinide;;;Ghiorso et al.;1961;7;
104;Rutherfordium;Rf;261;artificial;yes;;Transactinide;;;Ghiorso et al.;1969;7;
105;Dubnium;Db;262;artificial;yes;;Transactinide;;;Ghiorso et al.;1970;7;
106;Seaborgium;Sg;266;artificial;yes;;Transactinide;;;Ghiorso et al.;1974;7;
107;Bohrium;Bh;264;artificial;yes;;Transactinide;;;Armbruster and M?nzenberg;1981;7;
108;Hassium;Hs;267;artificial;yes;;Transactinide;;;Armbruster and M?nzenberg;1983;7;
109;Meitnerium;Mt;268;artificial;yes;;Transactinide;;;GSI, Darmstadt, West Germany;1982;7;
110;Darmstadtium;Ds;271;artificial;yes;;Transactinide;;;;1994;7;
111;Roentgenium;Rg;272;artificial;yes;;Transactinide;;;;1994;7;
112;Copernicium;Cn;285;artificial;yes;;Transactinide;;;;1996;7;
113;Nihonium;Nh;284;artificial;yes;;;;;;2004;7;3
114;Flerovium;Fl;289;artificial;yes;;Transactinide;;;;1999;7;4
115;Moscovium;Mc;288;artificial;yes;;;;;;2010;7;5
116;Livermorium;Lv;292;artificial;yes;;Transactinide;;;;2000;7;6
117;Tennessine;Ts;295;artificial;yes;;;;;;2010;7;7
118;Oganesson;Og;294;artificial;yes;;Noble Gas;;;;2006;7;8
